term_id,term,display_term,answer,Chinese,part_of_speech,definition_simple,definition_precise,domain,category,subcategory,related_terms,singular,plural,pronunciation_text,ipa,difficulty,source_day,source_lesson,date_added,notes,hangman_enabled,status
myelin,myelin,myelin,myelin,髓鞘/髓磷脂,noun,Insulating material around many axons,Insulating material surrounding many axons,Neuroscience,Cellular neuroscience,Neural insulation,axon; myelin sheath; oligodendrocyte,myelin,,myelin,,beginner,,,,Approved normalization of supplied glossary row,yes,approved
axon,axon,axon,axon,轴突,noun,Long projection carrying signals away from a neuron,Long projection of a neuron carrying signals away from the cell body,Neuroscience,Cellular neuroscience,Neuron structure,neuron; myelin,axon,,axon,,beginner,,,,Approved normalization of supplied glossary row,yes,approved
gyrus,gyrus,gyrus,gyrus,脑回,noun,Raised ridge of folded cerebral cortex,Raised ridge of folded cerebral cortex,Neuroscience,Neuroanatomy,Cerebral cortex,sulcus; fissure,gyrus,,gyrus,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
sulcus,sulcus,sulcus,sulcus,脑沟,noun,Groove between cortical folds,Groove between folds of the cerebral cortex,Neuroscience,Neuroanatomy,Cerebral cortex,gyrus; fissure,sulcus,,sulcus,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
fissure,fissure,fissure,fissure,裂隙,noun,Deep groove separating major brain regions,Deep groove separating major regions of the brain,Neuroscience,Neuroanatomy,Cerebral cortex,gyrus; sulcus,fissure,,fissure,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
cerebral-cortex,cerebral cortex,cerebral cortex,cerebral cortex,大脑皮层,noun,Outer gray matter layer of the cerebrum,Outer gray matter layer of the cerebrum,Neuroscience,Neuroanatomy,Cerebral cortex,cerebrum; cortex; gyrus,cerebral cortex,,cerebral cortex,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
vertebral-column,vertebral column,vertebral column,vertebral column,脊柱,noun,Column of vertebrae protecting the spinal cord,Column of vertebrae protecting the spinal cord,Neurobiology,General anatomy and physiology,Spinal anatomy,vertebra; spine; spinal cord,vertebral column,,vertebral column,,beginner,,,,Approved normalization of supplied glossary row,yes,approved
cervical-vertebrae,cervical vertebrae,cervical vertebrae,cervical vertebrae,颈椎,noun,Vertebrae forming the neck region,Vertebrae forming the cervical or neck region,Neurobiology,General anatomy and physiology,Spinal anatomy,thoracic vertebrae; lumbar vertebrae,cervical vertebra,cervical vertebrae,cervical vertebrae,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
thoracic-vertebrae,thoracic vertebrae,thoracic vertebrae,thoracic vertebrae,胸椎,noun,Vertebrae connected with the rib cage,Vertebrae of the thoracic region connected with the rib cage,Neurobiology,General anatomy and physiology,Spinal anatomy,cervical vertebrae; lumbar vertebrae,thoracic vertebra,thoracic vertebrae,thoracic vertebrae,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
lumbar-vertebrae,lumbar vertebrae,lumbar vertebrae,lumbar vertebrae,腰椎,noun,Lower back vertebrae supporting body weight,Vertebrae of the lower back that support body weight,Neurobiology,General anatomy and physiology,Spinal anatomy,sacrum; pelvis,lumbar vertebra,lumbar vertebrae,lumbar vertebrae,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
sacrum,sacrum,sacrum,sacrum,骶骨,noun,Bone connecting the spine and pelvis,Bone connecting the spine and pelvis,Neurobiology,General anatomy and physiology,Spinal anatomy,coccyx; pelvis,sacrum,,sacrum,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
coccyx,coccyx,coccyx,coccyx,尾骨,noun,Terminal bone of the vertebral column,Terminal bone of the vertebral column,Neurobiology,General anatomy and physiology,Spinal anatomy,tailbone,coccyx,,coccyx,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
pelvis,pelvis,pelvis,pelvis,骨盆,noun,Bony structure connecting the spine and lower limbs,Bony structure connecting the spine and lower limbs,Neurobiology,General anatomy and physiology,Spinal anatomy,sacrum; coccyx,pelvis,,pelvis,,beginner,,,,Approved normalization of supplied glossary row,yes,approved
stimulus,stimulus,stimulus,stimulus,刺激,noun,Change detected by sensory receptors,A change detected by sensory receptors,Neuroscience,Sensory systems,Sensory signaling,sensation; perception,stimulus,stimuli,stimulus,,beginner,,,,Canonical singular; stimuli retained as plural metadata,yes,approved
volitional,volitional,volitional,volitional,意志性的,adjective,Initiated by conscious intention or will,Initiated by conscious intention or will,Neuroscience,Motor systems,Voluntary movement,volition; voluntary movement,volitional,,volitional,,intermediate,,,,Approved normalization of supplied glossary row,yes,approved
multiple-sclerosis,multiple sclerosis,multiple sclerosis,multiple sclerosis,多发性硬化症,noun,Immune-mediated disease damaging CNS myelin,Immune-mediated disease involving damage to myelin in the central nervous system,Neuroscience,Neurological disorders,Demyelinating disease,demyelination; lesion,multiple sclerosis,,multiple sclerosis,,advanced,,,,Approved normalization of supplied glossary row,yes,approved
demyelination,demyelination,demyelination,demyelination,脱髓鞘,noun,Loss or destruction of myelin,Loss or destruction of myelin,Neuroscience,Neurological disorders,Demyelination,multiple sclerosis,demyelination,,demyelination,,advanced,,,,Approved normalization of supplied glossary row,yes,approved
